Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23853277965280129;45-54;female;6016;10623;1.765824468;EUR;24.16463887;1.6044112;1.57240756;320.8822396;9;2023-01-01;2023-04-30
23852314592870129;25-34;male;18611;22557;1.212001376;EUR;11.2640416;1.037911496;1.015746912;317.6009169;7;2023-01-01;2023-04-30
23853130348280129;35-44;male;14643;17642;1.204763986;EUR;14.40316664;1.31247368;0.972247416;317.6186308;4;2023-01-01;2023-04-30
23854349407120129;45-54;male;4736;7571;1.598648649;EUR;33.51648352;1.812571432;1.969568896;317.2;7;2023-01-01;2023-04-30
23853017842180221;25-34;male;8774;14473;1.649434719;EUR;17.51501169;1.592281792;1.163009232;316.8640764;5;2023-01-01;2023-04-30
23853260889700129;35-44;male;10342;13353;1.291073639;EUR;18.77257338;1.598637872;1.356419624;313.3330222;6;2023-01-01;2023-04-30
23852531898950129;35-44;male;12262;15730;1.282750522;EUR;15.80388566;1.082703832;1.615298544;310.736;5;2023-01-01;2023-04-30
23853721607400129;55-64;male;4352;7306;1.678676471;EUR;33.93689586;1.2859408;2.908453792;309.911733;8;2023-01-01;2023-04-30
23853687585440129;45-54;female;2541;5042;1.984256927;EUR;49.13868613;1.433666664;3.097429384;309.672;6;2023-01-01;2023-04-30
23853295481900129;18-24;male;12301;12607;1.024908949;EUR;19.58398375;1.347703056;1.31480424;308.624;7;2023-01-01;2023-04-30
23852526898840129;25-34;female;16538;20650;1.248645511;EUR;11.94266233;1.357991192;0.895707424;308.264;5;2023-01-01;2023-04-30
23854349407120129;25-34;female;4915;7482;1.522135417;EUR;32.83746792;3.745073168;1.000855432;307.096;7;2023-01-01;2023-04-30
23854101086880129;25-34;female;6387;11051;1.730210421;EUR;22.10337339;2.091342464;1.21615752;305.336;8;2023-01-01;2023-04-30
23853855968070129;45-54;male;5024;7451;1.483121019;EUR;32.74983895;1.894608696;2.267554216;305.032;3;2023-01-01;2023-04-30
23853701734420129;35-44;female;7040;11934;1.695227273;EUR;20.38503821;1.877185184;1.61952004;304.104;6;2023-01-01;2023-04-30
23853260889700129;55-64;male;5709;7520;1.317264574;EUR;32.25668724;1.579233648;2.357446808;303.21286;8;2023-01-01;2023-04-30
23853260889700129;35-44;female;7296;9042;1.239254386;EUR;26.7836535;1.823547304;1.592638472;302.7088519;2;2023-01-01;2023-04-30
